user_id,name,birthday,gender,prefecture,register_date,is_premium
11487,石塚 拓,1978-11-26,1,京都,2019-09-01,false
14486,長坂 賢介,1992-07-18,1,京都,2017-07-14,false
14118,野中 裕之,1994-05-08,1,佐賀,2019-01-01,false
13507,髙松 龍,1983-02-07,1,兵庫,2018-11-14,false
14983,小倉 慎太郎,1984-07-04,1,兵庫,2018-11-26,false
11202,大辻 烈,1985-06-27,1,千葉,,false
13597,安村 康史,1980-06-29,1,千葉,2019-12-11,false
15546,滝本 準也,1985-12-30,1,千葉,2017-12-22,false
16288,具志堅 拓史,1969-07-14,1,千葉,2018-03-24,false
15677,大 晶,1984-01-10,1,埼玉,,false
16873,藪田 貴晴,1984-02-12,1,埼玉,2018-01-22,false
17469,能見 勝利,1983-10-09,1,埼玉,2018-01-10,true
11041,北村 和幸,1962-08-17,1,大分,2018-09-26,false
15834,大嶺 良人,1987-08-08,1,大分,2017-09-30,false
11337,設楽 正寛,1990-06-17,1,大阪,2017-12-10,false
12172,中筋 宗明,1988-10-27,1,大阪,2019-09-30,false
15444,小宮 雄一,1976-03-03,1,大阪,,false
15776,筧 俊則,1991-10-26,1,大阪,2017-09-09,false
16686,久米 健也,1994-01-20,1,大阪,2018-09-03,false
10214,大中 真司,1989-04-02,1,奈良,2018-11-07,false
12214,大石 忠,1974-10-10,1,奈良,,false
19275,細見 直純,1971-03-24,1,宮城,2017-05-08,true
14761,田島 茂,2000-09-27,1,宮崎,2019-05-25,false
12984,吉住 浩喜,1967-06-14,1,山口,2018-11-30,false
13725,大友 大介,1992-06-01,1,山口,2018-07-15,false
13295,中山 剛,,1,山形,,false
12257,月野 俊行,1990-11-06,1,山梨,2019-12-16,false
12829,河野 大樹,,1,岡山,,false
11990,布川 俊郎,1978-03-01,1,岩手,2018-10-07,false
12164,原田 弘,1992-04-07,1,岩手,2018-01-08,false
14316,山内 英二,1988-10-29,1,島根,2019-04-20,false
14564,山室 光正,1991-11-20,1,徳島,2018-02-13,false
19156,橋詰 敬司,1993-01-28,1,愛知,,false
12745,三浦 浩平,1983-08-23,1,新潟,2019-06-19,false
13364,安福 孝彦,1978-11-16,1,新潟,2017-12-17,false
10491,中川原 優真,1988-11-12,1,東京,2019-11-22,false
10814,京 恭典,1984-06-11,1,東京,2017-12-01,false
11790,石渡 光徳,1986-10-19,1,東京,2017-12-20,false
12021,宮浦 寿浩,1987-06-22,1,東京,2018-02-23,false
12850,石坂 政則,1985-12-28,1,東京,2017-03-31,false
13125,閔 拓志,1986-04-22,1,東京,2018-04-23,false
13351,中元 章治,1970-03-31,1,東京,,false
13353,管野 泰士,1981-11-28,1,東京,2019-12-13,false
13868,冨安 吉正,1982-10-05,1,東京,2019-11-10,false
13997,安谷屋 建夫,1986-07-15,1,東京,,false
14494,杉谷 政春,1985-01-01,1,東京,2018-09-19,false
16332,川手 則昭,1986-10-24,1,東京,2017-07-07,false
16638,谷田 聡士,,1,東京,,false
16660,大家 晴貴,1980-05-29,1,東京,2017-09-01,false
16871,布目 吉秀,1989-06-07,1,東京,2017-04-07,false
17033,金原 樹,1982-01-08,1,東京,2017-04-27,false
17817,吉良 隆信,1988-08-06,1,東京,2017-03-26,true
19442,一宮 尚徳,1986-12-10,1,東京,2017-10-17,true
19540,山林 祐基,1987-12-06,1,東京,2017-09-02,true
